[MAP_INFOR]
2576	432	272	240
[OBJECTS]
# Ground
5	0	352	22	10	1
5	1920	400	22	8	1
5	2032	240	22	1	11
5	2064	416	22	34	1
# MOVING WOOD
15	400	320	24	3	1

15	592	352	24	3	1
15	624	304	24	3	1
15	656	400	24	3	1

15	752	336	24	3	1
15	1088	384	24	3	1

15	1200	320	24	3	1

15	1376	352	24	3	1
15	1408	336	24	3	1

15	1552	304	24	3	1

15	1744	384	24	3	1

15	1776	336	24	3	1

15	1792	416	24	3	1
# Weak Brick
#objtype x	y	ani_set	aMX	aMY	typeItem (Default 0,Mushroom 1, P_Switch 2, COIN 3, LEAF 4)
9	224	352	22	1	1	0
9	240	352	22	1	1	0
9	256	352	22	1	1	0
9	272	352	22	1	1	0

9	384	336	22	1	1	0
9	400	336	22	1	1	0
9	416	336	22	1	1	0
9	432	336	22	1	1	0
9	448	336	22	1	1	0

9	608	288	22	1	1	0
9	624	288	22	1	1	0
9	640	288	22	1	1	1
9	656	288	22	1	1	0

9	640	368	22	1	1	0
9	656	368	22	1	1	0

9	752	320	22	1	1	0
9	752	336	22	1	1	0
9	752	352	22	1	1	0

9	752	368	22	1	1	0
9	768	368	22	1	1	0
9	784	368	22	1	1	0
9	800	368	22	1	1	0

9	864	336	22	1	1	0
9	864	352	22	1	1	0
9	864	368	22	1	1	0

9	864	384	22	1	1	0
9	880	384	22	1	1	0
9	896	384	22	1	1	0

9	944	336	22	1	1	0
9	944	352	22	1	1	0
9	960	352	22	1	1	4

9	960	400	22	1	1	0
9	976	400	22	1	1	0
9	992	400	22	1	1	0
9	1008	400	22	1	1	0

9	1008	352	22	1	1	3
9	1024	352	22	1	1	0
9	1040	352	22	1	1	0
9	1056	352	22	1	1	0
9	1072	352	22	1	1	0

9	1152	384	22	1	1	0
9	1168	384	22	1	1	0
9	1184	384	22	1	1	0
9	1200	384	22	1	1	0
9	1216	384	22	1	1	0

9	1184	304	22	1	1	0
9	1200	304	22	1	1	0
9	1216	304	22	1	1	0
9	1232	304	22	1	1	0

9	1232	288	22	1	1	1

9	1264	368	22	1	1	0
9	1280	368	22	1	1	0

9	1392	304	22	1	1	0
9	1408	304	22	1	1	0
9	1424	304	22	1	1	0

9	1536	288	22	1	1	3
9	1536	304	22	1	1	0

9	1536	368	22	1	1	0
9	1536	384	22	1	1	0

9	1536	400	22	1	1	0
9	1552	400	22	1	1	0
9	1568	400	22	1	1	0
9	1584	400	22	1	1	0

9	1728	288	22	1	1	0
9	1728	304	22	1	1	0
9	1728	320	22	1	1	0

9	1776	368	22	1	1	0
9	1792	368	22	1	1	0
9	1808	368	22	1	1	0

# COIN
11	336	304	5	1	1	12
11	352	304	5	1	1	12
11	368	304	5	1	1	12

11	416	272	5	1	1	12
11	432	272	5	1	1	12
11	448	272	5	1	1	12

11	1328	288	5	1	1	12
11	1344	288	5	1	1	12
11	1360	288	5	1	1	12

11	1504	272	5	1	1	12
11	1504	288	5	1	1	12
11	1504	304	5	1	1	12
11	1504	320	5	1	1	12
11	1504	336	5	1	1	12
11	1504	352	5	1	1	12
11	1504	368	5	1	1	12
11	1504	384	5	1	1	12

11	1888	304	5	1	1	12
11	1904	304	5	1	1	12
11	1920	304	5	1	1	12


# ColorBox
6	1967	368	20	3	3

#BOOMERANG BROTHER
16	2096	200	25	1	1.375

#PIPE
#type	x	y	ani_set	numX	numY	Special	Where(1Main/0Hide)	Hut/Day(1 hut/ 0day)	Height
#7	1936	336	23	2	4	1	1	1	1
#7	2192	384	23	2	2	1	1	0	0

# koopas
#color Red(0), Green(1) -> Type Having(2), Default(1), Shell(0)
3	200	320	4	1	1.625	0	2

3	1072	320	4	1	1.625	0	1

3	1984	341	4	1	1.625	0	1
3	1870	292	4	1	1.625	0	2

#ITEM END SCENE
14	2448	336	5	1	1
