# Ground
1	5	0	352	22	10	1	0	1	0	1	
2	5	1920	400	22	8	1	10	1	10	1	
3	5	2032	240	22	1	11	10	0	10	1	
4	5	2064	416	22	34	1	11	1	13	1	
# MOVING WOOD
1	15	400	320	24	3	1	2	0	2	1	
2	15	592	352	24	3	1	3	1	3	1	
3	15	624	304	24	3	1	3	0	3	0	
4	15	656	400	24	3	1	3	1	3	1	
5	15	752	336	24	3	1	4	1	4	1	
6	15	1088	384	24	3	1	5	1	6	1	
7	15	1200	320	24	3	1	6	0	6	1	
8	15	1376	352	24	3	1	7	1	7	1	
9	15	1408	336	24	3	1	7	1	7	1	
10	15	1552	304	24	3	1	8	0	8	0	
11	15	1744	384	24	3	1	9	1	9	1	
12	15	1776	336	24	3	1	9	1	9	1	
13	15	1792	416	24	3	1	9	1	9	1	
# Weak Brick
#objtype x	y	ani_set	aMX	aMY	typeItem (Default 0,Mushroom 1, P_Switch 2, COIN 3, LEAF 4)
1	9	224	352	22	1	1	0	1	1	1	1	
2	9	240	352	22	1	1	0	1	1	1	1	
3	9	256	352	22	1	1	0	1	1	1	1	
4	9	272	352	22	1	1	0	1	1	1	1	
5	9	384	336	22	1	1	0	2	1	2	1	
6	9	400	336	22	1	1	0	2	1	2	1	
7	9	416	336	22	1	1	0	2	1	2	1	
8	9	432	336	22	1	1	0	2	1	2	1	
9	9	448	336	22	1	1	0	2	1	2	1	
10	9	608	288	22	1	1	0	3	0	3	0	
11	9	624	288	22	1	1	0	3	0	3	0	
12	9	640	288	22	1	1	1	3	0	3	0	
13	9	656	288	22	1	1	0	3	0	3	0	
14	9	640	368	22	1	1	0	3	1	3	1	
15	9	656	368	22	1	1	0	3	1	3	1	
16	9	752	320	22	1	1	0	4	0	4	1	
17	9	752	336	22	1	1	0	4	1	4	1	
18	9	752	352	22	1	1	0	4	1	4	1	
19	9	752	368	22	1	1	0	4	1	4	1	
20	9	768	368	22	1	1	0	4	1	4	1	
21	9	784	368	22	1	1	0	4	1	4	1	
22	9	800	368	22	1	1	0	4	1	4	1	
23	9	864	336	22	1	1	0	4	1	4	1	
24	9	864	352	22	1	1	0	4	1	4	1	
25	9	864	368	22	1	1	0	4	1	4	1	
26	9	864	384	22	1	1	0	4	1	4	1	
27	9	880	384	22	1	1	0	4	1	4	1	
28	9	896	384	22	1	1	0	4	1	4	1	
29	9	944	336	22	1	1	0	5	1	5	1	
30	9	944	352	22	1	1	0	5	1	5	1	
31	9	960	352	22	1	1	4	5	1	5	1	
32	9	960	400	22	1	1	0	5	1	5	1	
33	9	976	400	22	1	1	0	5	1	5	1	
34	9	992	400	22	1	1	0	5	1	5	1	
35	9	1008	400	22	1	1	0	5	1	5	1	
