# Ground
1	5	0	416	22	39	1	0	1	3	1
2	5	624	400	22	29	1	3	1	5	1
3	5	1152	416	22	22	1	6	1	8	1
4	5	1536	416	22	5	1	8	1	8	1
5	5	1664	416	22	36	1	8	1	11	1
6	5	2256	416	22	38	1	12	1	15	1
7	5	0	384	22	1	9	0	1	0	1
8	5	352	368	22	2	3	1	1	2	1
9	5	1505	336	22	2	1	8	1	8	1
10	5	1569	400	22	1	1	8	1	8	1
11	5	1585	384	22	1	2	8	1	8	1
12	5	1601	368	22	1	3	8	1	8	1
13	5	1665	368	22	1	3	8	1	8	1
14	5	1681	384	22	1	2	8	1	9	1
15	5	1697	400	22	1	1	9	1	9	1
16	5 	1793	384	22	2	2	9	1	9	1
17	5	1857	368	22	2	3	9	1	10	1
18	5	2256	368	22	2	3	12	1	12	1
19	5	2320	384	22	2	2	12	1	12	1
20	5	1968	464	22	8	12	10	1	11	2
21	5	2096	624	22	8	2	11	1	11	2
22	5	2224	608	22	1	3	11	1	11	2
23	5	2240	593	22	1	4	11	1	12	2
24	5	2256	576	22	1	5	12	1	12	2
25	5	2272	560	22	1	6	12	1	12	2
26	5	2288	544	22	1	7	12	1	12	2
27	5	2304	528	22	3	8	12	1	12	2
28	5	2352	464	22	8	12	12	1	13	2
29	5	2128	464	22	12	1	11	1	12	1
